_id,link,website,request_time,request_date,request_datetime,flat_meta.price,flat_meta.surface,city,order,orga,run
ObjectID(5846b47d79baba5e5702a78a),www.immobilienscout24.de/expose/90677239,immobilienscout,07:27:48,2016-10-11,2016-10-11T07:27:48Z,500,47,nürnberg,tyaxg,company,2
ObjectID(5840311779baba5e570281dc),www.immobilienscout24.de/expose/89143524,immobilienscout,07:53:03,2016-06-30,2016-06-30T07:53:03Z,870,53,münchen,pag,private,1
ObjectID(5840501579baba5e57029206),www.immowelt.de/expose/2ANLX4E,immowelt,17:17:17,2016-06-29,2016-06-29T17:17:17Z,560,37,münchen,pygxt,company,1
ObjectID(584ebf76c980817b111fb9c0),www.immowelt.de/expose/2B59B4H,immowelt,07:22:41,2016-09-27,2016-09-27T07:22:41Z,300,32,berlin,gia,private,2
ObjectID(58469c6f79baba5e57029fc6),www.immobilienscout24.de/expose/90349760,immobilienscout,17:30:14,2016-09-19,2016-09-19T17:30:14Z,283.5,42,dortmund,pxtyg,company,2
ObjectID(584038bf79baba5e57028ae4),www.immobilienscout24.de/expose/89383080,immobilienscout,17:13:38,2016-07-15,2016-07-15T17:13:38Z,300,50,leipzig,pgt,company,1
ObjectID(5840338d79baba5e570284b4),www.immobilienscout24.de/expose/89215493,immobilienscout,07:50:59,2016-07-05,2016-07-05T07:50:59Z,270,47.42,leipzig,iag,company,1
ObjectID(584030a179baba5e57028156),www.immobilienscout24.de/expose/89131577,immobilienscout,07:50:16,2016-06-29,2016-06-29T07:50:16Z,205.09,30.16,magdeburg,gai,company,1
ObjectID(5846b3a379baba5e5702a670),www.immobilienscout24.de/expose/90557524,immobilienscout,07:25:49,2016-10-03,2016-10-03T07:25:49Z,495,49.5,berlin,iga,company,2
ObjectID(58404d6f79baba5e57028f0e),www.immowelt.de/expose/2AH2B4B,immowelt,07:52:30,2016-06-21,2016-06-21T07:52:30Z,387,43,hamburg,pgt,company,1
ObjectID(584031a379baba5e570282a2),www.immobilienscout24.de/expose/89167334,immobilienscout,07:57:34,2016-07-01,2016-07-01T07:57:34Z,363.65,51.95,leipzig,tgp,company,1
ObjectID(5846b48f79baba5e5702a7c8),www.immobilienscout24.de/expose/90679671,immobilienscout,07:27:59,2016-10-11,2016-10-11T07:27:59Z,319.88,56.12,leipzig,gia,company,2
ObjectID(584034f479baba5e5702868e),www.immobilienscout24.de/expose/77616251,immobilienscout,16:39:20,2016-07-07,2016-07-07T16:39:20Z,370,34,köln,at,company,1
ObjectID(58516b7fc980817b111fd268),www.immobilienscout24.de/expose/89418685,immobilienscout,16:05:13,2016-07-18,2016-07-18T16:05:13Z,517,57,berlin,g,company,1
ObjectID(58500160c980817b111fd168),www.immowelt.de/expose/2BSRF4P,immowelt,06:33:10,2016-10-13,2016-10-13T06:33:10Z,260,50,köln,g,company,2
ObjectID(584ec17ec980817b111fbb4d),www.immowelt.de/expose/2BGDL4M,immowelt,17:29:30,2016-10-07,2016-10-07T17:29:30Z,380,55,dresden,tag,company,2
ObjectID(584030ad79baba5e5702817e),www.immobilienscout24.de/expose/89129628,immobilienscout,06:54:51,2016-06-29,2016-06-29T06:54:51Z,260,40,dortmund,g,company,1
ObjectID(58469e7379baba5e5702a22e),www.immobilienscout24.de/expose/90453273,immobilienscout,17:22:53,2016-09-24,2016-09-24T17:22:53Z,550,32.32,münchen,git,company,2
