_id,link,website,request_time,request_date,request_datetime,flat_meta.price,flat_meta.rooms,flat_meta.surface,flat_meta.title,city,order,stage
ObjectID(584ebf3dc980817b111fb99a),www.immowelt.de/expose/2BL9Y4G,immowelt,07:24:12,2016-09-26,2016-09-26T07:24:12Z,210,NA,33.48,"Sofort Bezugsfertig! Wohnung mit Terrasse, Erdgeschoss,Bad mit Wanne,offene Küche,TG",leipzig,NA,4
ObjectID(584ebf80c980817b111fb9d7),www.immowelt.de/expose/2BLK84H,immowelt,07:25:13,2016-09-27,2016-09-27T07:25:13Z,249,NA,38.48,"Laminat, Bad mit Dusche, Balkon, Stellplatz",leipzig,NA,4
ObjectID(584ec04ec980817b111fba61),www.immowelt.de/expose/2B2S64K,immowelt,17:25:16,2016-09-30,2016-09-30T17:25:16Z,350,NA,53.65,sonnige Wohnung mit Balkon/Bad mit Fenster/EBK/Laminat/gepflegter Altbau/ruhige Lage,leipzig,NA,4
ObjectID(584ec04fc980817b111fba63),www.immowelt.de/expose/2BNN64K,immowelt,17:25:28,2016-09-30,2016-09-30T17:25:28Z,249,NA,38.48,"Laminat, Bad mit Dusche, Balkon, Stellplatz",leipzig,NA,4
ObjectID(584ec175c980817b111fbb38),www.immowelt.de/expose/2BDUL4M,immowelt,17:27:26,2016-10-07,2016-10-07T17:27:26Z,313,NA,50.79,"Laminat, Balkon, perfekt für Paare oder Singles",leipzig,NA,4
ObjectID(584ec17ac980817b111fbb44),www.immowelt.de/expose/2BYZL4M,immowelt,17:28:47,2016-10-07,2016-10-07T17:28:47Z,310,NA,55.51,Geräumig Helle Wohnung * Super Grundriss * Laminat * Sehr Gute Verkehrsanbindung*,leipzig,NA,4
ObjectID(584ffc2dc980817b111fd018),www.immowelt.de/expose/2B5G74A,immowelt,08:01:54,2016-09-08,2016-09-08T08:01:54Z,345,NA,42.79,ERSTBEZUG nach Sanierung ! Denkmalgeschützter Altbau mit moderner Ausstattung,leipzig,NA,1
ObjectID(584ffc2dc980817b111fd019),www.immowelt.de/expose/2B9FZ49,immowelt,08:01:54,2016-09-08,2016-09-08T08:01:54Z,292,NA,51.24,Senioren aufgepasst! 2 Zimmer im Hochparterre!,leipzig,NA,1
ObjectID(584ffc2ec980817b111fd01a),www.immowelt.de/expose/2B3N44A,immowelt,08:01:51,2016-09-08,2016-09-08T08:01:51Z,850,NA,54,Sehr Ruhige 2-Zimmer-Wohnung am Sendling/Westpark U6,münchen,NA,1
ObjectID(584ffc2ec980817b111fd01b),www.immowelt.de/expose/2BX564A,immowelt,08:01:51,2016-09-08,2016-09-08T08:01:51Z,420,NA,52,schöne helle 2 Zimmerwohnung,nürnberg,NA,1
ObjectID(584ffc2fc980817b111fd01c),www.immowelt.de/expose/2BA744A,immowelt,08:01:53,2016-09-08,2016-09-08T08:01:53Z,350,NA,38,Möbliertes 1 Zimmer wohnung.,frankfurt,NA,1
ObjectID(584ffc2fc980817b111fd01d),www.immowelt.de/expose/2BVHV49,immowelt,08:01:55,2016-09-08,2016-09-08T08:01:55Z,380,NA,58.68,Helle 2-Zimmerwohnung,nürnberg,NA,1
